Hidden units LSTM;Sequence lenght;n_hidden_fc_2;n_hidden_fc_1;mean loss train;mean loss val;sd loss train;sd loss val
13.0;8.0;36.0;55.0;-0.2923;-0.4228;0.0213;0.3349
13.0;21.0;36.0;55.0;-0.2908;-0.4213;0.0221;0.3335
21.0;8.0;36.0;36.0;-0.2279;-0.3801;0.0445;0.3007
21.0;21.0;36.0;36.0;-0.2286;-0.3751;0.048;0.303
13.0;8.0;36.0;36.0;-0.2159;-0.367;0.0521;0.2836
13.0;21.0;36.0;36.0;-0.2186;-0.3663;0.051;0.2889
21.0;8.0;36.0;55.0;-0.2503;-0.3486;0.0474;0.3688
21.0;21.0;36.0;55.0;-0.2439;-0.3423;0.0479;0.3675
