epoch;training;validation
0;0.702589542414602;1.03010300972632
1;0.3413813895859771;0.5014508792332241
2;0.29524887575464354;0.41561636914099964
3;0.2884508538065036;0.4934364738208907
4;0.27192330739116144;0.4036854436354978
5;0.2539478108616165;0.472111027687788
6;0.2359664702160253;0.44461215659976006
7;0.22935592451065942;0.4488605186343193
8;0.2267944418017377;0.38351762294769287
9;0.2188223642991722;0.5108741399432931
10;0.22008088002629703;0.3987222909927368
11;0.21904483939731978;0.5225147785884994
12;0.21387548643828097;0.48477518398846897
13;0.21730913874276436;0.48769185851727215
14;0.21226892303366687;0.5443538512502398
15;0.20971250589628246;0.6061178557574749
16;0.2134501391311706;0.5138666140181678
17;0.20707277251788267;0.5192622675427369
18;0.21574816803411884;0.526570338755846
