timestamp;cut_torque_target;cut_lag error_target;cut_position_target;cut_speed_target;film_position_target;film_speed_target;film_lag_error_target;cut_torque_predicted;cut_lag error_predicted;cut_position_predicted;cut_speed_predicted;film_position_predicted;film_speed_predicted;film_lag_error_predicted;prediction_loss;cut_torque_residuas;cut_lag_error_residual;cut_position_residual;cut_speed_residual;film_position_residual;film_speed_residual;film_lag_error_residual
0.0;;;;;;;;;;;;;;;;0.30448557436466217;0.8133818376809359;23.70039129257202;-1.0297677516937256;5.917854309082031;-2.8048737049102783;-6.175028204917908
1.0;;;;;;;;;;;;;;;;0.3179645389318466;0.8118162620812654;23.701032161712646;-1.0394446551799774;5.919082164764404;-2.7872498631477356;-6.220357835292816
2.0;;;;;;;;;;;;;;;;0.3062240034341812;0.8124812114983797;23.701518297195435;-1.038888156414032;5.9197001457214355;-2.78270024061203;-6.219477415084839
3.0;;;;;;;;;;;;;;;;0.301801860332489;0.8139185179024935;23.701746463775635;-1.0388293266296387;5.919743537902832;-2.7827764749526978;-6.218146860599518
4.0;;;;;;;;;;;;;;;;0.31316475570201874;0.8143620956689119;23.70167112350464;-1.0393576622009277;5.919453978538513;-2.791413426399231;-6.195382177829742
5.0;;;;;;;;;;;;;;;;0.26655836403369904;0.89316126704216;23.70151114463806;-1.041798323392868;5.920042037963867;-2.786901295185089;-6.207591176033021
6.0;;;;;;;;;;;;;;;;0.30901744961738586;0.8132552374154329;23.702299118041992;-1.0338129997253418;5.9200029373168945;-2.7829285860061646;-6.218952834606171
7.0;;;;;;;;;;;;;;;;0.300067737698555;0.8141541946679354;23.702138423919678;-1.0393669605255127;5.91972541809082;-2.799832463264465;-6.196065187454224
8.0;;;;;;;;;;;;;;;;0.26912808418273926;0.8942271769046783;23.701274871826172;-1.0393503308296204;5.919509649276733;-2.799902737140655;-6.196380317211151
9.0;;;;;;;;;;;;;;;;0.28135809302330017;0.8135614264756441;23.701505661010742;-1.0393642783164978;5.919313669204712;-2.7998294830322266;-6.208057045936585
10.0;;;;;;;;;;;;;;;;0.2834641933441162;0.8951521217823029;23.700773239135742;-1.0396525859832764;5.918933272361755;-2.7918336987495422;-6.229288399219513
11.0;;;;;;;;;;;;;;;;0.28744281828403473;0.8149794805794954;23.701990604400635;-1.039315938949585;5.919871807098389;-2.791100263595581;-6.195551812648773
12.0;;;;;;;;;;;;;;;;0.28710411489009857;0.8958172500133514;23.70112895965576;-1.0392017364501953;5.91959536075592;-2.782967686653137;-6.217438101768494
13.0;;;;;;;;;;;;;;;;0.3059561401605606;0.9763785749673843;23.700966358184814;-1.0396799147129059;5.919112205505371;-2.7916868925094604;-6.195463180541992
14.0;;;;;;;;;;;;;;;;0.26284755766391754;0.9340283796191216;23.70107364654541;-1.0368304252624512;5.919367432594299;-2.7996619343757625;-6.197680652141571
15.0;;;;;;;;;;;;;;;;0.3286041319370269;0.7330137491226196;23.701061487197876;-1.0346908569335938;5.918730020523071;-2.791732132434845;-6.197831809520721
16.0;;;;;;;;;;;;;;;;0.2975630760192871;0.8135546911507845;23.7007954120636;-1.0399320721626282;5.918513178825378;-2.7878342866897583;-6.208019793033601
17.0;;;;;;;;;;;;;;;;0.2774479240179062;0.8940252363681793;23.69996166229248;-1.0403751134872437;5.918062210083008;-2.784029006958008;-6.218600392341614
18.0;;;;;;;;;;;;;;;;0.37655362486839294;0.7336056232452393;23.700718879699707;-1.0402211546897888;5.918381214141846;-2.7879140973091125;-6.218230307102203
19.0;;;;;;;;;;;;;;;;0.3114680051803589;0.8138838279992342;23.701709747314453;-1.0287500619888306;5.91927695274353;-2.7916271686553955;-6.21802419424057
20.0;;;;;;;;;;;;;;;;0.34106300771236425;0.7327802777290344;23.702808618545532;-1.0389309227466583;5.920650005340576;-2.7907403707504272;-6.217939674854279
21.0;;;;;;;;;;;;;;;;0.3067070692777633;0.8133649099618196;23.702631950378418;-1.0394248366355896;5.92010223865509;-2.7911624908447266;-6.195528566837311
22.0;;;;;;;;;;;;;;;;0.30406926572322845;0.8922282159328461;23.702065229415894;-1.0392491817474365;5.920334339141846;-2.7866984605789185;-6.1968260407447815
23.0;;;;;;;;;;;;;;;;0.2916463613510132;0.8097358215600252;23.703126907348633;-1.0382564067840576;5.921579003334045;-2.7938894033432007;-6.187620997428894
24.0;;;;;;;;;;;;;;;;0.276363730430603;0.8912306725978851;23.70162558555603;-1.0440225005149841;5.920432806015015;-2.786408841609955;-6.1984652280807495
25.0;;;;;;;;;;;;;;;;0.2633884847164154;0.8512891614809632;23.701342582702637;-1.0409214198589325;5.920375347137451;-2.786441683769226;-6.198648989200592
26.0;;;;;;;;;;;;;;;;0.28432662785053253;0.9736359268426895;23.70033073425293;-1.0443367063999176;5.919033527374268;-2.7874979376792908;-6.219636499881744
27.0;;;;;;;;;;;;;;;;0.3071783781051636;0.8537145340815187;23.700140953063965;-1.0366494059562683;5.918668746948242;-2.7918779850006104;-6.219580233097076
28.0;;;;;;;;;;;;;;;;0.2859620302915573;0.8149065840989351;23.70111107826233;-1.0393574237823486;5.918877482414246;-2.7918426990509033;-6.1961429715156555
29.0;;;;;;;;;;;;;;;;0.27622465789318085;0.8949065506458282;23.700860738754272;-1.034603625535965;5.918217420578003;-2.796592950820923;-6.206783533096314
30.0;;;;;;;;;;;;;;;;0.22100817412137985;1.0771677494049072;23.70099949836731;-1.034824252128601;5.918385028839111;-2.8005537986755367;-6.189878165721893
31.0;;;;;;;;;;;;;;;;0.07005485519766809;1.3944585919380188;23.70064687728882;-1.0352058708667755;5.918319225311279;-2.7836579084396362;-6.163175463676453
32.0;;;;;;;;;;;;;;;;-0.009891837835311876;1.6004052758216858;23.69990634918213;-1.0193852484226227;5.918295979499817;-2.7833777666091923;-6.065750181674956
33.0;;;;;;;;;;;;;;;;-0.21606937050819397;2.0348246097564697;23.696465015411377;-1.020810842514038;5.91524350643158;-2.789305806159973;-5.962200164794922
34.0;;;;;;;;;;;;;;;;-0.23305889964103696;1.822635591030121;23.690329551696777;-1.0020282864570618;5.909444570541382;-2.7761266827583313;-5.9360275864601135
35.0;;;;;;;;;;;;;;;;-0.442878782749176;2.0065096616744995;23.682583332061768;-1.008188545703888;5.9010220766067505;-2.7738903760910034;-5.863222599029541
36.0;;;;;;;;;;;;;;;;-0.5652397871017456;2.0602447390556335;23.67380976676941;-0.9987038671970367;5.8910921812057495;-2.7648050785064697;-5.7772637009620675
37.0;;;;;;;;;;;;;;;;-0.5619292259216309;1.62806898355484;23.66572093963623;-0.9800686538219452;5.881677150726318;-2.763838052749634;-5.6650583148002625
38.0;;;;;;;;;;;;;;;;-0.5326719880104065;1.0204555094242096;23.65732192993164;-0.9821125864982605;5.8718931674957275;-2.7642264366149902;-5.563539445400238
39.0;;;;;;;;;;;;;;;;-0.586802303791046;1.0764610171318054;23.651806116104126;-0.9682163298130035;5.864995241165161;-2.7463098764419556;-5.5487629771232605
40.0;;;;;;;;;;;;;;;;-0.790636956691742;1.5576545000076294;23.646373033523556;-0.9520729780197144;5.857262134552002;-2.8116104602813716;-5.200368285179138
41.0;;;;;;;;;;;;;;;;-0.7649509906768798;1.1729357242584229;23.638584852218624;-0.940920889377594;5.850709080696106;-2.78703784942627;-3.034395396709442
42.0;;;;;;;;;;;;;;;;-0.8290016055107114;0.8363944962620735;23.604296684265137;-0.9183126389980317;5.8237144947052;-2.7719342708587646;-2.0262486934661865
43.0;;;;;;;;;;;;;;;;-0.8648985624313354;0.6942037492990494;23.548089504241943;-0.8901087939739227;5.779554843902588;-2.75747549533844;-1.7244420647621155
